# MineGuard-AI Synthetic Surface Subsidence Dataset (SIH26025 Demonstration Dataset)
# DISCLAIMER: Synthetic dataset validation — not field prediction accuracy.
node_id,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,vibration_rms,displacement_mm,crack_detected,neighbour_anomaly_count,risk_label
N03,-0.03,0.19,0.19,0.048,0.9,0,1,0
N04,7.33,7.34,10.37,1.882,28.1,0,3,2
N02,-0.44,-0.05,0.44,0.144,1.1,0,1,0
N03,2.33,2.42,3.36,0.205,5.7,0,2,1
N01,5.24,6.21,8.13,0.857,29.2,1,2,2
N01,0.22,0.11,0.25,0.124,1.7,0,0,0
N01,3.13,2.15,3.8,0.261,7.2,1,1,1
N03,-0.1,0.76,0.77,0.105,1.4,0,0,0
N01,0.13,-0.41,0.43,0.089,2.0,0,1,0
N02,2.96,1.57,3.35,0.223,5.2,0,1,1
N04,-0.25,0.47,0.53,0.083,0.9,0,1,0
N03,0.34,0.22,0.4,0.147,0.1,0,1,0
N03,5.02,7.28,8.84,1.914,30.7,0,2,2
N04,3.41,2.35,4.14,0.451,8.9,1,2,1
N01,-0.28,0.79,0.84,0.023,1.3,0,0,0
N02,-0.44,0.51,0.67,0.122,0.3,0,0,0
N04,2.73,1.37,3.05,0.341,6.4,0,1,1
N04,-0.05,0.78,0.78,0.063,2.0,0,0,0
N03,0.19,-0.13,0.23,0.129,0.9,0,1,0
N01,-0.36,0.64,0.73,0.097,1.7,0,0,0
N02,2.91,1.42,3.24,0.238,8.0,0,1,1
N01,0.19,0.03,0.19,0.139,1.4,0,0,0
N01,2.72,2.73,3.85,0.248,6.2,0,1,1
N03,0.55,0.55,0.78,0.117,0.6,0,1,0
N02,2.7,2.36,3.59,0.534,4.8,1,1,1
N02,5.82,6.14,8.46,1.693,24.8,1,3,2
N03,0.57,-0.53,0.78,0.095,2.0,0,0,0
N04,-0.43,-0.02,0.43,0.125,2.1,0,1,0
N03,0.07,-0.32,0.33,0.139,0.3,0,0,0
N04,3.75,1.67,4.11,0.447,8.3,0,2,1
N03,1.76,2.26,2.86,0.484,5.0,1,1,1
N02,3.13,2.66,4.11,0.521,8.0,0,1,1
N02,6.48,5.4,8.44,0.975,11.1,1,2,2
N02,0.33,-0.43,0.54,0.041,1.3,0,0,0
N03,-0.03,-0.16,0.16,0.059,0.5,0,1,0
N04,2.75,2.92,4.01,0.451,3.6,1,1,1
N04,1.9,2.95,3.51,0.37,8.5,0,2,1
N04,-0.72,-0.31,0.78,0.108,0.5,0,0,0
N01,0.05,0.52,0.52,0.099,0.8,0,0,0
N01,5.95,7.49,9.57,1.158,26.7,1,3,2
N02,0.67,-0.28,0.73,0.108,2.1,0,1,0
N02,3.04,2.88,4.19,0.249,6.7,0,2,1
N02,0.77,-0.6,0.98,0.037,2.5,0,1,0
N04,-0.71,0.31,0.77,0.082,1.5,0,1,0
N02,-0.46,-0.15,0.48,0.034,2.1,0,0,0
N03,0.37,0.45,0.58,0.06,0.3,0,0,0
N04,-0.39,0.42,0.57,0.098,2.2,0,0,0
N04,0.16,0.38,0.41,0.131,1.8,0,0,0
N03,-0.73,0.41,0.84,0.043,1.2,0,0,0
N01,-0.62,0.24,0.66,0.094,2.1,0,0,0
N01,-0.13,-0.22,0.26,0.02,0.7,0,0,0
N03,4.98,5.83,7.67,0.831,16.2,1,2,2
N02,-0.62,0.68,0.92,0.099,1.2,0,0,0
N02,-0.62,-0.15,0.64,0.077,0.8,0,0,0
N03,-0.45,-0.77,0.89,0.089,1.4,0,0,0
N01,1.62,1.17,2.0,0.495,8.0,0,2,1
N01,3.66,2.28,4.31,0.381,6.6,0,1,1
N02,2.19,2.18,3.09,0.362,5.8,0,2,1
N01,0.38,0.52,0.64,0.043,1.3,0,1,0
N03,6.53,5.11,8.29,0.947,21.0,0,2,2
N02,0.47,-0.66,0.81,0.118,1.4,0,0,0
N02,7.1,4.32,8.31,1.448,33.3,0,2,2
N03,-0.59,0.24,0.64,0.059,1.7,0,1,0
N02,0.13,-0.36,0.38,0.109,2.3,0,0,0
N04,-0.33,-0.39,0.51,0.099,2.5,0,1,0
N03,0.56,-0.71,0.9,0.061,1.7,0,0,0
N02,-0.57,-0.58,0.81,0.092,2.4,0,0,0
N04,-0.14,-0.05,0.15,0.079,2.4,0,0,0
N04,0.4,-0.13,0.42,0.038,0.6,0,0,0
N02,-0.12,0.67,0.68,0.126,0.8,0,0,0
N01,0.01,0.21,0.21,0.054,2.0,0,0,0
N04,0.34,0.19,0.39,0.029,2.2,0,0,0
N03,6.98,7.18,10.01,0.805,22.7,0,3,2
N03,0.3,-0.1,0.32,0.025,0.0,0,0,0
N04,0.31,0.41,0.51,0.072,0.1,0,0,0
N01,0.44,0.5,0.67,0.049,2.0,0,0,0
N02,1.88,2.53,3.15,0.243,7.5,0,1,1
N03,3.2,3.09,4.45,0.208,7.4,0,1,1
N01,6.28,3.72,7.3,2.005,34.8,1,3,2
N01,5.48,7.62,9.39,0.709,14.4,0,3,2
N01,0.05,-0.74,0.74,0.125,1.2,0,1,0
N02,1.57,2.47,2.93,0.475,7.3,0,1,1
N03,2.74,1.06,2.94,0.334,4.5,0,2,1
N02,2.05,1.94,2.82,0.496,8.6,0,1,1
N02,0.22,0.06,0.23,0.06,0.5,0,1,0
N02,6.69,5.58,8.71,1.155,31.3,1,2,2
N04,-0.64,-0.6,0.88,0.079,0.2,0,0,0
N01,8.76,7.42,11.48,1.127,13.1,1,2,2
N01,5.31,7.71,9.36,1.398,20.1,0,3,2
N02,7.78,3.77,8.65,1.572,13.6,1,2,2
N01,0.49,-0.39,0.63,0.025,1.6,0,0,0
N02,-0.56,-0.55,0.78,0.127,0.3,0,0,0
N01,-0.65,0.72,0.97,0.126,0.1,0,0,0
N04,3.1,1.35,3.38,0.314,6.5,0,2,1
N04,3.76,1.88,4.2,0.374,7.9,0,2,1
N01,0.7,0.27,0.75,0.075,0.3,0,0,0
N02,-0.19,0.17,0.25,0.083,1.3,0,1,0
N01,4.85,3.92,6.24,1.487,11.9,1,2,2
N02,-0.45,-0.18,0.48,0.139,0.3,0,0,0
N03,8.26,6.12,10.28,2.044,19.5,0,2,2
N02,9.0,6.8,11.28,2.017,12.8,1,3,2
N01,5.65,6.68,8.75,1.087,17.7,1,3,2
N02,-0.58,0.21,0.62,0.078,1.4,0,0,0
N03,-0.22,-0.28,0.36,0.1,0.1,0,0,0
N01,-0.4,0.06,0.4,0.06,1.9,0,1,0
N04,2.63,1.25,2.91,0.479,8.6,0,2,1
N03,8.37,4.4,9.46,0.847,22.3,1,3,2
N03,-0.74,-0.31,0.8,0.082,0.5,0,0,0
N03,0.25,0.23,0.34,0.028,1.1,0,0,0
N03,2.07,1.76,2.72,0.515,7.3,0,2,1
N03,-0.8,0.76,1.1,0.137,0.8,0,0,0
N03,3.12,2.93,4.28,0.388,4.6,0,2,1
N03,3.66,1.76,4.06,0.226,8.7,0,2,1
N02,1.5,2.42,2.85,0.461,5.7,0,2,1
N01,5.96,4.78,7.64,1.031,34.2,1,2,2
N01,2.34,2.28,3.27,0.461,6.5,0,1,1
N02,1.9,1.4,2.36,0.305,7.3,1,2,1
N02,2.61,2.08,3.34,0.408,4.2,0,2,1
N03,7.83,6.55,10.21,2.066,33.5,0,3,2
N03,5.73,4.57,7.33,2.027,17.7,1,3,2
N02,-0.26,-0.47,0.54,0.102,2.3,0,0,0
N02,4.81,4.78,6.78,1.969,13.4,0,2,2
N02,-0.63,-0.27,0.69,0.148,1.3,0,1,0
N02,2.23,2.59,3.42,0.289,5.1,1,2,1
N03,7.43,5.09,9.01,0.861,21.9,1,3,2
N04,6.25,6.28,8.86,1.741,19.4,1,3,2
N03,6.2,4.46,7.64,0.715,13.9,1,2,2
N04,2.38,2.15,3.21,0.385,6.0,1,2,1
N03,-0.1,0.74,0.75,0.146,1.6,0,1,0
N04,-0.73,0.0,0.73,0.036,0.3,0,0,0
N02,2.13,1.55,2.63,0.289,5.2,1,2,1
N01,-0.01,0.23,0.23,0.146,1.8,0,0,0
N03,5.89,7.04,9.18,1.548,13.5,1,3,2
N04,-0.55,-0.62,0.83,0.029,1.2,0,0,0
N03,2.3,2.59,3.46,0.52,8.2,1,1,1
N03,3.27,2.51,4.12,0.392,5.7,0,2,1
N03,0.3,0.14,0.33,0.038,2.0,0,0,0
N04,3.49,3.2,4.73,0.336,4.4,0,1,1
N03,0.23,-0.09,0.25,0.144,0.3,0,0,0
N04,2.99,2.29,3.77,0.345,8.7,0,2,1
N02,-0.12,0.67,0.68,0.043,2.3,0,0,0
N02,1.78,1.53,2.35,0.472,4.2,0,2,1
N01,3.43,3.16,4.66,0.485,6.9,0,1,1
N02,2.54,1.09,2.76,0.205,7.3,0,1,1
N03,-0.4,-0.74,0.84,0.086,0.1,0,0,0
N03,2.84,2.7,3.92,0.418,6.2,0,1,1
N02,0.51,0.16,0.53,0.075,0.5,0,0,0
N01,0.1,0.21,0.23,0.033,2.1,0,1,0
N02,2.32,2.1,3.13,0.585,4.8,1,1,1
N04,0.22,0.54,0.58,0.028,1.9,0,0,0
N02,0.56,-0.33,0.65,0.079,0.5,0,0,0
N02,2.44,2.73,3.66,0.401,5.9,1,2,1
N03,-0.68,0.29,0.74,0.137,1.8,0,0,0
N01,0.36,0.21,0.42,0.126,0.6,0,1,0
N04,-0.23,0.01,0.23,0.095,2.1,0,1,0
N02,8.16,5.93,10.09,1.475,25.1,1,2,2
N03,0.01,0.17,0.17,0.146,1.6,0,0,0
N01,3.78,2.76,4.68,0.324,4.2,0,2,1
N04,-0.02,-0.55,0.55,0.026,1.1,0,0,0
N01,3.08,1.39,3.38,0.237,5.8,0,1,1
N04,3.58,2.25,4.23,0.318,4.4,0,1,1
N04,8.89,4.91,10.16,1.805,12.4,1,3,2
N01,0.52,-0.04,0.52,0.085,0.5,0,1,0
N04,2.86,1.47,3.22,0.48,4.5,0,1,1
N02,1.94,1.31,2.34,0.285,6.1,0,2,1
N01,3.13,2.44,3.97,0.359,8.2,0,2,1
N04,-0.76,-0.03,0.76,0.124,2.2,0,1,0
N03,0.47,0.61,0.77,0.068,0.5,0,0,0
N02,7.33,5.06,8.91,0.744,13.8,1,3,2
N01,3.41,3.18,4.66,0.368,4.1,1,1,1
N03,3.33,3.07,4.53,0.578,8.6,0,2,1
N04,-0.8,-0.55,0.97,0.094,1.3,0,1,0
N03,3.74,1.52,4.04,0.277,7.6,1,2,1
N03,0.47,-0.36,0.59,0.031,1.9,0,0,0
N04,3.19,1.66,3.6,0.504,5.1,1,2,1
N01,0.12,0.53,0.54,0.042,0.9,0,0,0
N04,2.67,2.44,3.62,0.26,6.0,0,2,1
N03,8.38,6.51,10.61,1.09,16.9,0,3,2
N01,-0.8,0.59,0.99,0.141,1.8,0,0,0
N04,6.39,7.59,9.92,1.962,28.4,0,2,2
N04,-0.51,-0.15,0.53,0.076,1.7,0,0,0
N02,6.1,5.38,8.13,1.876,33.7,1,3,2
N02,-0.48,-0.46,0.66,0.131,1.6,0,1,0
N02,0.41,0.15,0.44,0.074,0.8,0,0,0
N02,-0.26,-0.52,0.58,0.038,2.2,0,1,0
N04,0.48,-0.74,0.88,0.039,0.6,0,1,0
N02,0.22,0.65,0.69,0.028,2.5,0,0,0
N04,0.12,0.55,0.56,0.093,1.3,0,0,0
N01,2.47,2.8,3.73,0.227,6.9,1,1,1
N03,7.83,4.81,9.19,0.766,20.8,1,2,2
N04,-0.13,0.18,0.22,0.039,1.3,0,0,0
N01,-0.19,0.78,0.8,0.061,0.1,0,1,0
N03,1.53,2.65,3.06,0.353,6.9,0,2,1
N04,2.55,1.62,3.02,0.572,8.3,0,1,1
N02,-0.53,-0.76,0.93,0.134,0.3,0,0,0
N03,0.54,0.28,0.61,0.116,0.2,0,0,0
N03,2.39,2.61,3.54,0.579,8.1,0,1,1
N03,0.79,-0.66,1.03,0.07,0.5,0,1,0
N01,0.56,-0.75,0.94,0.059,1.8,0,0,0
N04,3.59,1.97,4.09,0.32,5.6,1,1,1
N03,6.85,5.73,8.93,1.634,15.6,1,3,2
N01,8.53,4.05,9.44,1.205,19.6,1,3,2
N02,2.38,1.64,2.89,0.513,3.6,0,1,1
N03,8.67,6.71,10.96,1.555,20.5,1,2,2
N02,0.64,0.7,0.95,0.078,0.4,0,1,0
N04,0.77,0.19,0.79,0.053,1.1,0,0,0
N01,2.62,2.88,3.89,0.485,8.4,1,1,1
N01,4.95,4.03,6.38,1.87,31.5,1,2,2
N02,0.79,-0.5,0.93,0.091,0.2,0,1,0
N03,7.2,4.89,8.7,0.758,13.5,1,3,2
N01,6.49,4.59,7.95,1.65,22.5,1,2,2
N04,2.63,2.57,3.68,0.42,7.7,0,1,1
N01,4.62,5.78,7.4,1.264,32.8,1,3,2
N01,8.72,6.03,10.6,1.677,34.6,1,3,2
N03,1.53,1.42,2.09,0.564,6.3,1,2,1
N04,6.03,3.97,7.22,0.937,13.9,0,2,2
N03,1.84,1.59,2.43,0.213,5.3,0,1,1
N02,-0.41,0.0,0.41,0.091,1.8,0,1,0
N01,7.66,7.6,10.79,0.87,32.4,1,2,2
N02,0.52,0.19,0.55,0.091,2.1,0,0,0
N01,2.27,1.52,2.73,0.206,5.2,0,1,1
N02,3.11,2.54,4.02,0.533,6.8,0,2,1
N02,3.28,1.77,3.73,0.336,9.0,1,2,1
N02,-0.41,0.78,0.88,0.084,2.0,0,1,0
